country,adjective,person
Afghanistan,Afghan,an Afghan
Albania,Albanian,an Albanian
Algeria,Algerian,an Algerian
Andorra,Andorran,an Andorran
Angola,Angolan,an Angolan
Argentina,Argentinian,an Argentinian
Armenia,Armenian,an Armenian
Australia,Australian,an Australian
Austria,Austrian,an Austrian
Azerbaijan,Azerbaijani,an Azerbaijani
Bahamas,Bahamian,a Bahamian
Bahrain,Bahraini,a Bahraini
Bangladesh,Bangladeshi,a Bangladeshi
Barbados,Barbadian,a Barbadian
Belarus,Belarusian or Belarusan,a Belarusian or a Belarusan
Belgium,Belgian,a Belgian
Belize,Belizean,a Belizean
Benin,Beninese,a Beninese
Bhutan,Bhutanese,a Bhutanese
Bolivia,Bolivian,a Bolivian
Bosnia-Herzegovina,Bosnian,a Bosnian
Botswana,Botswanan,a Tswana
Brazil,Brazilian,a Brazilian
Britain,British,a Briton
Brunei,Bruneian,a Bruneian
Bulgaria,Bulgarian,a Bulgarian
Burkina,Burkinese,a Burkinese
Burma (official name Myanmar),Burmese,a Burmese
Burundi,Burundian,a Burundian
Cambodia,Cambodian,a Cambodian
Cameroon,Cameroonian,a Cameroonian
Canada,Canadian,a Canadian
Cape Verde Islands,Cape Verdean,a Cape Verdean
Chad,Chadian,a Chadian
Chile,Chilean,a Chilean
China,Chinese,a Chinese
Colombia,Colombian,a Colombian
Congo,Congolese,a Congolese
Costa Rica,Costa Rican,a Costa Rican
Croatia,Croat or Croatian,a Croat or a Croatian
Cuba,Cuban,a Cuban
Cyprus,Cypriot,a Cypriot
Czech Republic,Czech,a Czech
Denmark,Danish,a Dane
Djibouti,Djiboutian,a Djiboutian
Dominica,Dominican,a Dominican
Dominican Republic,Dominican,a Dominican
Ecuador,Ecuadorean,an Ecuadorean
Egypt,Egyptian,an Egyptian
El Salvador,Salvadorean,a Salvadorean
England,English,"an Englishman, an Englishwoman"
Eritrea,Eritrean,an Eritrean
Estonia,Estonian,an Estonian
Ethiopia,Ethiopian,an Ethiopian
Fiji,Fijian,a Fijian
Finland,Finnish,a Finn
France,French,"a Frenchman, a Frenchwoman"
Gabon,Gabonese,a Gabonese
"Gambia, the",Gambian,a Gambian
Georgia,Georgian,a Georgian
Germany,German,a German
Ghana,Ghanaian,a Ghanaian
Greece,Greek,a Greek
Grenada,Grenadian,a Grenadian
Guatemala,Guatemalan,a Guatemalan
Guinea,Guinean,a Guinean
Guyana,Guyanese,a Guyanese
Haiti,Haitian,a Haitian
Holland (also Netherlands),Dutch,"a Dutchman, a Dutchwoman"
Honduras,Honduran,a Honduran
Hungary,Hungarian,a Hungarian
Iceland,Icelandic,an Icelander
India,Indian,an Indian
Indonesia,Indonesian,an Indonesian
Iran,Iranian,an Iranian
Iraq,Iraqi,an Iraqi
"Ireland, Republic of",Irish,"an Irishman, an Irishwoman"
Italy,Italian,an Italian
Jamaica,Jamaican,a Jamaican
Japan,Japanese,a Japanese
Jordan,Jordanian,a Jordanian
Kazakhstan,Kazakh,a Kazakh
Kenya,Kenyan,a Kenyan
Kuwait,Kuwaiti,a Kuwaiti
Laos,Laotian,a Laotian
Latvia,Latvian,a Latvian
Lebanon,Lebanese,a Lebanese
Liberia,Liberian,a Liberian
Libya,Libyan,a Libyan
Liechtenstein,-,a Liechtensteiner
Lithuania,Lithuanian,a Lithuanian
Luxembourg,-,a Luxembourger
Madagascar,Malagasy or Madagascan,a Malagasy or a Madagascan
Malawi,Malawian,a Malawian
Malaysia,Malaysian,a Malaysian
Maldives,Maldivian,a Maldivian
Mali,Malian,a Malian
Malta,Maltese,a Maltese
Mauritania,Mauritanian,a Mauritanian
Mauritius,Mauritian,a Mauritian
Mexico,Mexican,a Mexican
Moldova,Moldovan,a Moldovan
Monaco,Monégasque or Monacan,a Monégasque or a Monacan
Mongolia,Mongolian,a Mongolian
Montenegro,Montenegrin,a Montenegrin
Morocco,Moroccan,a Moroccan
Mozambique,Mozambican,a Mozambican
Myanmar see Burma,-,-
Namibia,Namibian,a Namibian
Nepal,Nepalese,a Nepalese
"Netherlands, the (see Holland)",Dutch,"a Dutchman, a Dutchwoman, or a Netherlander"
New Zealand,"New Zealand (used attributively only, as in New Zealand butter but not He is New Zealand)",a New Zealander
Nicaragua,Nicaraguan,a Nicaraguan
Niger,Nigerien,a Nigerien
Nigeria,Nigerian,a Nigerian
North Korea,North Korean,a North Korean
Norway,Norwegian,a Norwegian
Oman,Omani,an Omani
Pakistan,Pakistani,a Pakistani
Panama,Panamanian,a Panamanian
Papua New Guinea,Papua New Guinean or Guinean,a Papua New Guinean or a Guinean
Paraguay,Paraguayan,a Paraguayan
Peru,Peruvian,a Peruvian
the Philippines,Philippine or Filipino,"a Filipino (male/female), a Filipina (female)"
Poland,Polish,a Pole
Portugal,Portuguese,a Portuguese
Qatar,Qatari,a Qatari
